Species.name.standardized.TPL.2016,Leaf.Area..mm2.,Nmass..mg.g.,LMA..g.m2.,Plant.Height..m.,Seed.Mass..mg.,SSD.combined..mg.mm3.,Accepted_name_TNRS2022,coment,growth_form,growthform_source
Androsace septentrionalis,17.96,19.49,41.568,0.047,0.1624,0.177,Androsace septentrionalis,original_Diaz,herb,GIFT
Anemone alpina,2014.38,29.252,56.703,0.239,6.68,0.205,Pulsatilla alpina,original_Diaz,herb,GIFT
Anemone canadensis,2932,11,53.967,0.395,2.6452,0.237,Anemonastrum canadense,original_Diaz,herb,GIFT
Anemone montana,597.03,30.708,63.464,0.131,2.36,0.215,Anemone,original_Diaz,herb,GIFT
Anemone nemorosa,2924.11,29.355,35.463,0.183,2.3673,0.189,Anemonoides nemorosa,original_Diaz,herb,GIFT
Anemone pulsatilla,1669.11,15,100.47,0.178,3.245,0.216,Pulsatilla vulgaris,original_Diaz,herb,GIFT
Anemone quinquefolia,1600.21,15.3,27.479,0.277,1.13,0.175,Anemonoides quinquefolia,original_Diaz,herb,GIFT
Anemone ranunculoides,1424.07,28.7,27.25,0.146,1.937,0.19,Anemonoides ranunculoides,original_Diaz,herb,GIFT
Angelica archangelica,3006.4,30.227,53.861,1.214,4.087,0.19,Angelica archangelica,original_Diaz,herb,GIFT
Angelica sylvestris,5112.75,30.249,42.561,0.821,1.1522,0.197,Angelica sylvestris,original_Diaz,herb,GIFT
Annona spraguei,20779.04,23.653,49.494,20.02,38.1548,0.514,Annona spraguei,original_Diaz,tree,GIFT
Anogeissus leiocarpa,738,19.857,67.981,3.674,6.5862,0.8,Terminalia leiocarpa,original_Diaz,tree,GIFT
Antennaria dioica,68.03,14.001,58.229,0.115,0.0466,0.24,Antennaria dioica,original_Diaz,herb,GIFT
Antennaria parvifolia,66,15.29,78.74,0.01,0.0648,0.237,Antennaria parvifolia,original_Diaz,herb,GIFT
Antennaria rosulata,30,15.91,53.476,0.01,0.07,0.248,Antennaria rosulata,original_Diaz,herb,GIFT
Anthemis arvensis,246.68,17.01,44.732,0.207,0.6049,0.375,Anthemis arvensis,original_Diaz,herb,GIFT
Anthemis cotula,1919.84,32.733,53.667,0.427,0.4683,0.183,Anthemis cotula,original_Diaz,herb,GIFT
Anthemis cretica,154.76,24.44,71.633,0.25,0.69,0.185,Anthemis cretica,original_Diaz,herb,GIFT
Anthemis marschalliana,7,18.53,66.225,0.145,0.4,0.232,Archanthemis marschalliana,original_Diaz,herb,GIFT
